,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData maximum Row,MagpieData range Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData mean GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,transition metal fraction,0-norm,2-norm,frac s valence electrons,frac p valence electrons,frac d valence electrons,Ag,Al,Am,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Np,O,Os,P,Pa,Pb,Pd,Pr,Pt,Pu,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,formula,Tc_pred,SC_prob
52231,8.0,29.0,21.0,17.25,9.25,8.0,49.0,87.0,71.75,87.0,54.8,2180.0,2125.2,911.8425,857.0425,6.0,12.25,3.75,4.0,2.0,139.0,73.0,100.75,3.44,2.61,3.44,1.0,2.0,1.5,0.5,2.0,0.0,4.0,0.0,10.0,10.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.25,1.875,6.0,0.0,1.0,0.5,0.5,0.0,0.0,2.0,1.0,1.0,2.0,0.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.75,1.625,2.0,9.105,11.19,10.1175,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,119.5,0.5,3,0.6123724356957945,0.2068965517241379,0.2758620689655172,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CrCuO2,117.91777973901895,0.8135074973106384
52276,8.0,29.0,21.0,17.25,9.25,8.0,49.0,87.0,71.75,87.0,54.8,2180.0,2125.2,911.8425,857.0425,6.0,12.25,3.75,4.0,2.0,139.0,73.0,100.75,3.44,2.61,3.44,1.0,2.0,1.5,0.5,2.0,0.0,4.0,0.0,10.0,10.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.25,1.875,6.0,0.0,1.0,0.5,0.5,0.0,0.0,2.0,1.0,1.0,2.0,0.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.75,1.625,2.0,9.105,11.19,10.1175,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,119.5,0.5,3,0.6123724356957945,0.2068965517241379,0.2758620689655172,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CrCuO2,117.91777973901895,0.8135074973106384
68902,8.0,80.0,72.0,26.5,19.583333333333332,8.0,7.0,87.0,62.166666666666664,87.0,54.8,1357.77,1302.97,532.805,527.7525,2.0,11.333333333333334,4.777777777777778,6.0,4.0,215.0,149.0,116.5,3.44,2.435,3.44,1.0,2.0,1.8333333333333333,0.2777777777777778,2.0,0.0,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,1.1666666666666667,2.138888888888889,0.0,2.0,26.0,24.0,7.5,4.25,6.0,0.0,1.0,0.1666666666666666,0.2777777777777778,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1666666666666667,0.8333333333333334,2.0,9.105,63.59,22.24646551724167,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,114.25,0.1666666666666666,5,0.565194165260439,0.2444444444444444,0.2666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2CaCu2HgO6,103.85323365230008,0.9183708429336548
70552,8.0,81.0,73.0,25.153846153846153,19.26627218934911,8.0,7.0,87.0,64.46153846153847,87.0,54.8,1357.77,1302.97,522.3953846153846,503.56426035502955,2.0,11.76923076923077,4.745562130177515,6.0,4.0,215.0,149.0,113.6153846153846,3.44,2.483076923076923,3.44,1.0,2.0,1.8461538461538465,0.2603550295857987,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,14.0,1.0769230769230769,1.9881656804733727,0.0,2.0,27.0,25.0,7.461538461538462,4.094674556213018,6.0,0.0,1.0,0.1538461538461538,0.2603550295857988,0.0,0.0,5.0,1.4615384615384617,1.1242603550295858,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6153846153846154,0.9349112426035504,2.0,9.105,63.59,21.36423076923077,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.1538461538461538,5,0.5908573652206621,0.2474226804123711,0.2989690721649484,0.3092783505154639,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2CaTlCu2O7,81.52548776988256,0.9260538816452026
70940,8.0,56.0,48.0,22.615384615384617,15.739644970414204,8.0,9.0,87.0,63.92307692307692,87.0,54.8,1799.0,1744.2,635.0699999999999,624.9061538461539,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.6923076923077,3.44,2.5215384615384617,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3846153846153846,3.514792899408284,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,6.3076923076923075,2.165680473372781,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,9.0,0.6923076923076923,1.2781065088757395,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0769230769230769,2.0,9.105,63.59,19.73,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2804878048780487,0.3414634146341463,0.3780487804878049,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Ba2YCu3O7,89.06851420443458,0.9754231572151184
71224,8.0,71.0,63.0,25.076923076923077,18.3905325443787,8.0,9.0,87.0,66.15384615384616,87.0,54.8,1936.0,1881.2,645.6084615384615,636.2552662721894,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.46153846153848,3.44,2.525384615384615,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3846153846153846,3.514792899408284,0.0,0.0,14.0,1.0769230769230769,1.9881656804733727,0.0,2.0,17.0,15.0,7.384615384615385,3.1479289940828403,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,9.0,0.6923076923076923,1.2781065088757395,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0769230769230769,2.0,9.105,63.59,19.46076923076923,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0022471,0.0001728538461538,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2395833333333333,0.2916666666666666,0.3229166666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2LuCu3O7,78.60048617890513,0.9060975909233093
71938,8.0,67.0,59.0,24.76923076923077,18.059171597633135,8.0,9.0,87.0,65.53846153846153,87.0,54.8,1747.0,1692.2,631.0699999999999,620.5984615384616,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.84615384615384,3.44,2.522307692307692,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,11.0,0.8461538461538461,1.5621301775147929,0.0,2.0,13.0,11.0,7.076923076923077,2.7218934911242605,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2307692307692307,0.4260355029585799,0.0,0.0,3.0,1.5384615384615383,0.7218934911242603,2.0,9.105,63.59,19.604487179484615,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.25,0.3043478260869565,0.3260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2HoCu3O7,87.90987817381294,0.9660810232162476
72323,8.0,69.0,61.0,24.923076923076923,18.224852071005916,8.0,9.0,87.0,65.84615384615384,87.0,54.8,1818.0,1763.2,636.5315384615385,626.4801183431953,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.6923076923077,3.44,2.523846153846154,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,13.0,1.0,1.8461538461538465,0.0,2.0,15.0,13.0,7.230769230769231,2.93491124260355,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0769230769230769,0.1420118343195266,0.0,0.0,2.0,1.3846153846153846,0.6627218934911243,2.0,9.105,63.59,19.53115384615385,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2446808510638297,0.2978723404255319,0.3191489361702127,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2TmCu3O7,87.5580589105884,0.9581217765808105
72663,8.0,60.0,52.0,24.23076923076923,17.4792899408284,8.0,9.0,87.0,64.46153846153847,87.0,54.8,1357.77,1302.97,596.2238461538461,583.0718343195266,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,114.53846153846152,3.44,2.515384615384615,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,4.0,0.3076923076923077,0.5680473372781066,0.0,2.0,11.0,9.0,6.538461538461538,2.059171597633136,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.7692307692307693,1.4201183431952662,0.0,0.0,10.0,2.076923076923077,1.2189349112426038,2.0,9.105,63.59,19.918076923076924,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2705882352941176,0.3294117647058823,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2NdCu3O7,87.66767853214047,0.9659578800201416
72680,8.0,66.0,58.0,24.692307692307693,17.976331360946745,8.0,9.0,87.0,65.38461538461539,87.0,54.8,1685.0,1630.2,626.3007692307692,615.4623668639053,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.84615384615384,3.44,2.5215384615384617,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,10.0,0.7692307692307693,1.4201183431952662,0.0,2.0,12.0,10.0,7.0,2.6153846153846154,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3076923076923077,0.5680473372781066,0.0,0.0,4.0,1.6153846153846154,0.7810650887573964,2.0,9.105,63.59,19.64346153846154,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2527472527472527,0.3076923076923076,0.3296703296703296,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2DyCu3O7,88.30088563172342,0.9539251327514648
72834,8.0,64.0,56.0,24.53846153846154,17.810650887573964,8.0,9.0,87.0,65.07692307692308,87.0,54.8,1586.0,1531.2,618.6853846153846,607.2611834319526,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,114.15384615384616,3.44,2.52,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3846153846153846,3.514792899408284,0.0,0.0,7.0,0.5384615384615384,0.9940828402366864,0.0,2.0,11.0,9.0,6.846153846153846,2.4023668639053253,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,9.0,0.6923076923076923,1.2781065088757395,0.0,7.0,0.5384615384615384,0.9940828402366864,0.0,0.0,16.0,2.5384615384615383,2.0710059171597632,2.0,9.105,63.59,19.70576923076923,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2584269662921348,0.3146067415730337,0.348314606741573,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2GdCu3O7,93.35319725045423,0.939498782157898
72953,8.0,62.0,54.0,24.384615384615383,17.644970414201183,8.0,9.0,87.0,64.76923076923077,87.0,54.8,1357.77,1302.97,600.146923076923,587.2966863905325,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,114.3076923076923,3.44,2.5176923076923075,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,6.0,0.4615384615384615,0.8520710059171598,0.0,2.0,11.0,9.0,6.6923076923076925,2.1893491124260356,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6153846153846154,1.1360946745562133,0.0,0.0,8.0,1.9230769230769231,1.017751479289941,2.0,9.105,63.59,19.796538461538464,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,106.3846153846154,0.2307692307692307,4,0.6105579948610593,0.264367816091954,0.3218390804597701,0.3448275862068965,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2SmCu3O7,86.76023816241043,0.952358067035675
73290,8.0,68.0,60.0,24.846153846153847,18.14201183431953,8.0,9.0,87.0,65.6923076923077,87.0,54.8,1770.0,1715.2,632.8392307692308,622.5037869822486,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,113.6153846153846,3.44,2.523076923076923,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,12.0,0.9230769230769232,1.7041420118343196,0.0,2.0,14.0,12.0,7.153846153846154,2.8284023668639056,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1538461538461538,0.2840236686390533,0.0,0.0,2.0,1.4615384615384617,0.6627218934911243,2.0,9.105,63.59,19.593076923076925,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,108.53846153846152,0.2307692307692307,4,0.6105579948610593,0.2473118279569892,0.3010752688172042,0.3225806451612902,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2ErCu3O7,87.81994384601788,0.9663228392601013
73548,8.0,63.0,55.0,24.46153846153846,17.727810650887573,8.0,9.0,87.0,64.92307692307692,87.0,54.8,1357.77,1302.97,580.9161538461539,566.586627218935,2.0,11.692307692307692,4.6390532544378695,6.0,4.0,215.0,149.0,114.3076923076923,3.44,2.5188461538461535,3.44,1.0,2.0,1.7692307692307692,0.3550295857988166,2.0,0.0,4.0,0.0,10.0,10.0,2.3076923076923075,3.5502958579881656,0.0,0.0,7.0,0.5384615384615384,0.9940828402366864,0.0,2.0,11.0,9.0,6.769230769230769,2.2958579881656807,6.0,0.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,2.0,1.0769230769230769,0.9940828402366864,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.5384615384615384,0.9940828402366864,0.0,0.0,7.0,1.8461538461538465,0.9585798816568049,2.0,9.105,63.59,20.045,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,111.23076923076924,0.2307692307692307,4,0.6105579948610593,0.2613636363636363,0.3181818181818182,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ba2EuCu3O7,87.10346557855027,0.9694300293922424
